yyyy, mm, dd, hour, min, seg, altura, periodo, direcao
2015, 8, 9, 11, 25, 0, 0.76, 9.1, 173.0
2015, 8, 9, 12, 25, 0, 0.72, 9.1, 166.0
2015, 8, 9, 13, 25, 0, 0.93, 8.3, 160.0
2015, 8, 9, 14, 25, 0, 0.79, 8.0, 165.0
2015, 8, 9, 15, 25, 0, 0.71, 8.0, 163.0
2015, 8, 9, 16, 25, 0, 0.72, 8.0, 167.0
2015, 8, 9, 17, 25, 0, 0.81, 10.0, 163.0
2015, 8, 9, 18, 25, 0, 0.77, 10.0, 163.0
2015, 8, 9, 19, 25, 0, 0.83, 9.5, 168.0
2015, 8, 9, 20, 25, 0, 0.86, 9.1, 158.0
2015, 8, 9, 21, 25, 0, 0.84, 9.1, 160.0
2015, 8, 9, 22, 25, 0, 0.87, 8.7, 169.0
2015, 8, 9, 23, 25, 0, 0.83, 9.5, 169.0
2015, 8, 10, 0, 25, 0, 0.81, 8.3, 177.0
2015, 8, 10, 1, 25, 0, 0.85, 8.7, 165.0
2015, 8, 10, 2, 25, 0, 0.94, 14.3, 167.0
2015, 8, 10, 3, 25, 0, 1.0, 14.3, 172.0
2015, 8, 10, 4, 25, 0, 0.87, 15.4, 169.0
2015, 8, 10, 5, 25, 0, 0.9, 14.3, 168.0
2015, 8, 10, 6, 25, 0, 0.86, 8.3, 167.0
2015, 8, 10, 7, 25, 0, 0.84, 13.3, 176.0
2015, 8, 10, 8, 25, 0, 0.84, 14.3, 175.0
2015, 8, 10, 9, 25, 0, 0.86, 14.3, 171.0
2015, 8, 10, 10, 25, 0, 0.81, 14.3, 176.0
2015, 8, 10, 11, 25, 0, 0.91, 13.3, 172.0
2015, 8, 10, 12, 25, 0, 0.77, 14.3, 164.0
2015, 8, 10, 13, 25, 0, 0.9, 14.3, 163.0
2015, 8, 10, 14, 25, 0, 0.9, 13.3, 169.0
2015, 8, 10, 15, 25, 0, 1.08, 14.3, 159.0
2015, 8, 10, 16, 25, 0, 1.03, 13.3, 166.0
2015, 8, 10, 17, 25, 0, 0.91, 13.3, 165.0
2015, 8, 10, 18, 25, 0, 0.99, 14.3, 169.0
2015, 8, 10, 19, 25, 0, 1.0, 13.3, 163.0
2015, 8, 10, 20, 25, 0, 1.07, 13.3, 160.0
2015, 8, 10, 21, 25, 0, 0.96, 13.3, 166.0
2015, 8, 10, 22, 25, 0, 0.92, 14.3, 167.0
2015, 8, 10, 23, 25, 0, 1.01, 14.3, 171.0
2015, 8, 11, 0, 25, 0, 0.99, 13.3, 174.0
2015, 8, 11, 1, 25, 0, 0.87, 13.3, 170.0
2015, 8, 11, 2, 25, 0, 0.92, 14.3, 171.0
2015, 8, 11, 3, 25, 0, 1.07, 14.3, 159.0
2015, 8, 11, 4, 25, 0, 1.04, 14.3, 162.0
2015, 8, 11, 5, 25, 0, 0.95, 13.3, 166.0
2015, 8, 11, 6, 25, 0, 0.99, 13.3, 164.0
2015, 8, 11, 7, 25, 0, 0.83, 13.3, 165.0
2015, 8, 11, 8, 25, 0, 0.86, 14.3, 162.0
2015, 8, 11, 9, 25, 0, 0.87, 13.3, 164.0
2015, 8, 11, 10, 25, 0, 0.86, 14.3, 168.0
2015, 8, 11, 11, 25, 0, 0.77, 12.5, 166.0
2015, 8, 11, 12, 25, 0, 0.78, 13.3, 161.0
2015, 8, 11, 13, 25, 0, 0.75, 13.3, 166.0
2015, 8, 11, 14, 25, 0, 0.71, 13.3, 168.0
2015, 8, 11, 15, 25, 0, 0.83, 12.5, 164.0
2015, 8, 11, 16, 25, 0, 0.85, 12.5, 161.0
2015, 8, 11, 17, 25, 0, 0.76, 13.3, 168.0
2015, 8, 11, 18, 25, 0, 0.72, 13.3, 174.0
2015, 8, 11, 19, 25, 0, 0.62, 12.5, 174.0
2015, 8, 11, 20, 25, 0, 0.77, 12.5, 167.0
2015, 8, 11, 21, 25, 0, 0.76, 12.5, 170.0
2015, 8, 11, 22, 25, 0, 0.67, 13.3, 169.0
2015, 8, 11, 23, 25, 0, 0.78, 12.5, 166.0
2015, 8, 12, 0, 25, 0, 0.76, 12.5, 166.0
2015, 8, 12, 1, 25, 0, 0.77, 11.8, 164.0
2015, 8, 12, 2, 25, 0, 0.7, 13.3, 166.0
2015, 8, 12, 3, 25, 0, 0.71, 13.3, 176.0
2015, 8, 12, 4, 25, 0, 0.8, 10.0, 169.0
2015, 8, 12, 5, 25, 0, 0.7, 16.7, 181.0
2015, 8, 12, 6, 25, 0, 0.7, 16.7, 177.0
2015, 8, 12, 7, 25, 0, 0.72, 16.7, 187.0
2015, 8, 12, 8, 25, 0, 0.67, 16.7, 181.0
2015, 8, 12, 9, 25, 0, 0.61, 16.7, 184.0
2015, 8, 12, 10, 25, 0, 0.63, 16.7, 183.0
2015, 8, 12, 11, 25, 0, 0.67, 16.7, 180.0
2015, 8, 12, 12, 25, 0, 0.65, 14.3, 176.0
2015, 8, 12, 13, 25, 0, 0.71, 14.3, 179.0
2015, 8, 12, 14, 25, 0, 0.73, 15.4, 184.0
2015, 8, 12, 15, 25, 0, 0.72, 15.4, 184.0
2015, 8, 12, 16, 25, 0, 0.87, 15.4, 188.0
2015, 8, 12, 17, 25, 0, 0.85, 15.4, 190.0
2015, 8, 12, 18, 25, 0, 0.91, 15.4, 196.0
2015, 8, 12, 19, 25, 0, 0.77, 15.4, 186.0
2015, 8, 12, 20, 25, 0, 0.73, 15.4, 174.0
2015, 8, 12, 21, 25, 0, 0.76, 14.3, 180.0
2015, 8, 12, 22, 25, 0, 0.75, 15.4, 174.0
2015, 8, 12, 23, 25, 0, 0.77, 15.4, 184.0
2015, 8, 13, 0, 25, 0, 0.68, 15.4, 180.0
2015, 8, 13, 1, 25, 0, 0.73, 14.3, 176.0
2015, 8, 13, 2, 25, 0, 0.68, 14.3, 177.0
2015, 8, 13, 3, 25, 0, 0.66, 14.3, 185.0
2015, 8, 13, 4, 25, 0, 0.73, 14.3, 179.0
2015, 8, 13, 5, 25, 0, 0.75, 14.3, 194.0
2015, 8, 13, 6, 25, 0, 0.75, 14.3, 195.0
2015, 8, 13, 7, 25, 0, 0.62, 14.3, 186.0
2015, 8, 13, 8, 25, 0, 0.66, 14.3, 200.0
2015, 8, 13, 9, 25, 0, 0.66, 14.3, 179.0
2015, 8, 13, 10, 25, 0, 0.64, 13.3, 185.0
